CSV Source date,Country,Data as of,Case definition,Number of cases (Cumulative),Number of cases (In past 21 days),Number of deaths (cumulative)
2015-01-14,Liberia,11 January 2015,Suspected,3365,Not reported,Data not available.
2015-01-14,Liberia,11 January 2015,Total,8331,48,3538
2015-01-14,Sierra Leone,11 January 2015,Confirmed,7786,769,2696
2015-01-14,Sierra Leone,11 January 2015,Probable,287,Not reported,208
2015-01-14,Sierra Leone,11 January 2015,Suspected,2051,Not reported,158
2015-01-14,Sierra Leone,11 January 2015,Total,10124,769,3062
2015-01-14,All countries,,Total,21261,1047,8414
2015-01-15,Guinea,,12 January 2015,Confirmed,2522,1537
2015-01-15,Guinea,,12 January 2015,Probable,284,284
2015-01-15,Guinea,,12 January 2015,Suspected,11,Not available
2015-01-15,Guinea,,12 January 2015,Total,2817,1821
2015-01-15,Liberia,,12 January 2015,Confirmed,3127,Not available
2015-01-15,Liberia,,12 January 2015,Probable,1841,Not available
2015-01-15,Liberia,,12 January 2015,Suspected,3394,Not available
2015-01-15,Liberia,,12 January 2015,Total,8362,3556
2015-01-15,Sierra Leone,,12 January 2015,Confirmed,7802,2701
2015-01-15,Sierra Leone,,12 January 2015,Probable,287,208
2015-01-15,Sierra Leone,,12 January 2015,Suspected,2061,158
2015-01-15,Sierra Leone,,12 January 2015,Total,10150,3067
2015-01-15,All countries,,,Total,21329,8444
2015-01-16,Guinea,,13 January 2015,Confirmed,2525,1541
