CSV Source date,Country,Data as of,Case definition,Number of cases (Cumulative),Number of cases (In past 21 days),Number of deaths (cumulative)
2015-05-18,Liberia,,9 May 2015,Suspected,5636,Not available
2015-05-18,Liberia,,9 May 2015,Total,10666,4806
2015-05-18,Sierra Leone,,16 May 2015,Confirmed,8603,3540
2015-05-18,Sierra Leone,,16 May 2015,Probable,287,208
2015-05-18,Sierra Leone,,16 May 2015,Suspected,3703,158
2015-05-18,Sierra Leone,,16 May 2015,Total,12593,3906
2015-05-18,All countries,,,Confirmed,14949,Not available
2015-05-18,All countries,,,Probable,2585,Not available
2015-05-18,All countries,,,Suspected,9351,Not available
2015-05-18,All countries,,,Total,26885,11117
2015-05-19,Guinea,,17 May 2015,Confirmed,3201,1988
2015-05-19,Guinea,,17 May 2015,Probable,419,419
2015-05-19,Guinea,,17 May 2015,Suspected,15,Not available
2015-05-19,Guinea,,17 May 2015,Total,3635,2407
2015-05-19,Liberia,,9 May 2015,Confirmed,3151,Not available
2015-05-19,Liberia,,9 May 2015,Probable,1879,Not available
2015-05-19,Liberia,,9 May 2015,Suspected,5636,Not available
2015-05-19,Liberia,,9 May 2015,Total,10666,4806
2015-05-19,Sierra Leone,,17 May 2015,Confirmed,8605,3541
2015-05-19,Sierra Leone,,17 May 2015,Probable,287,208
2015-05-19,Sierra Leone,,17 May 2015,Suspected,3740,158
2015-05-19,Sierra Leone,,17 May 2015,Total,12632,3907
2015-05-19,All countries,,,Confirmed,14957,Not available
2015-05-19,All countries,,,Probable,2585,Not available
2015-05-19,All countries,,,Suspected,9391,Not available
2015-05-19,All countries,,,Total,26933,11120
2015-05-20,Guinea,17 May 2015,Confirmed,3201,43,1988
2015-05-20,Guinea,17 May 2015,Probable,419,Not reported.,419
2015-05-20,Guinea,17 May 2015,Suspected,15,Not reported.,Data not available.
2015-05-20,Guinea,17 May 2015,Total,3635,43,2407
2015-05-20,Liberia,9 May 2015,Confirmed,3151,0,Data not available.
2015-05-20,Liberia,9 May 2015,Probable,1879,Not reported.,Data not available.
2015-05-20,Liberia,9 May 2015,Suspected,5636,Not reported.,Data not available.
2015-05-20,Liberia,9 May 2015,Total,10666,0,4806
2015-05-20,Sierra Leone,17 May 2015,Confirmed,8605,19,3541
2015-05-20,Sierra Leone,17 May 2015,Probable,287,Not reported.,208
2015-05-20,Sierra Leone,17 May 2015,Suspected,3740,Not reported.,158
2015-05-20,Sierra Leone,17 May 2015,Total,12632,19,3907
2015-05-20,All countries,,Confirmed,14957,62,Data not available.
2015-05-20,All countries,,Probable,2585,Not reported.,Data not available.
2015-05-20,All countries,,Suspected,9391,Not reported.,Data not available.
2015-05-20,All countries,,Total,26933,62,11120
2015-05-21,Guinea,,19 May 2015,Confirmed,3204,1990
2015-05-21,Guinea,,19 May 2015,Probable,419,419
2015-05-21,Guinea,,19 May 2015,Suspected,26,Not available
2015-05-21,Guinea,,19 May 2015,Total,3649,2409
2015-05-21,Liberia,,9 May 2015,Confirmed,3151,Not available
2015-05-21,Liberia,,9 May 2015,Probable,1879,Not available
2015-05-21,Liberia,,9 May 2015,Suspected,5636,Not available
2015-05-21,Liberia,,9 May 2015,Total,10666,4806
2015-05-21,Sierra Leone,,19 May 2015,Confirmed,8607,3541
2015-05-21,Sierra Leone,,19 May 2015,Probable,287,208
2015-05-21,Sierra Leone,,19 May 2015,Suspected,3762,158
2015-05-21,Sierra Leone,,19 May 2015,Total,12656,3907
2015-05-21,All countries,,,Confirmed,14962,Not available
2015-05-21,All countries,,,Probable,2585,Not available
2015-05-21,All countries,,,Suspected,9424,Not available
2015-05-21,All countries,,,Total,26971,11122
2015-05-22,Guinea,,20 May 2015,Confirmed,3205,1993
2015-05-22,Guinea,,20 May 2015,Probable,419,419
2015-05-22,Guinea,,20 May 2015,Suspected,23,Not available
2015-05-22,Guinea,,20 May 2015,Total,3647,2412
2015-05-22,Liberia,,9 May 2015,Confirmed,3151,Not available
2015-05-22,Liberia,,9 May 2015,Probable,1879,Not available
2015-05-22,Liberia,,9 May 2015,Suspected,5636,Not available
2015-05-22,Liberia,,9 May 2015,Total,10666,4806
2015-05-22,Sierra Leone,,20 May 2015,Confirmed,8608,3541
2015-05-22,Sierra Leone,,20 May 2015,Probable,287,208
2015-05-22,Sierra Leone,,20 May 2015,Suspected,3771,158
2015-05-22,Sierra Leone,,20 May 2015,Total,12666,3907
2015-05-22,All countries,,,Confirmed,14964,Not available
2015-05-22,All countries,,,Probable,2585,Not available
2015-05-22,All countries,,,Suspected,9430,Not available
2015-05-22,All countries,,,Total,26979,11125
2015-05-25,Guinea,,23 May 2015,Confirmed,3208,1999
2015-05-25,Guinea,,23 May 2015,Probable,419,419
2015-05-25,Guinea,,23 May 2015,Suspected,13,Not available
2015-05-25,Guinea,,23 May 2015,Total,3640,2418
2015-05-25,Liberia,,9 May 2015,Confirmed,3151,Not available
2015-05-25,Liberia,,9 May 2015,Probable,1879,Not available
2015-05-25,Liberia,,9 May 2015,Suspected,5636,Not available
2015-05-25,Liberia,,9 May 2015,Total,10666,4806
2015-05-25,Sierra Leone,,23 May 2015,Confirmed,8608,3542
2015-05-25,Sierra Leone,,23 May 2015,Probable,287,208
2015-05-25,Sierra Leone,,23 May 2015,Suspected,3801,158
2015-05-25,Sierra Leone,,23 May 2015,Total,12696,3908
2015-05-25,All countries,,,Confirmed,14967,Not available
2015-05-25,All countries,,,Probable,2585,Not available
2015-05-25,All countries,,,Suspected,9450,Not available
2015-05-25,All countries,,,Total,27002,11132
2015-05-26,Guinea,,24 May 2015,Confirmed,3210,2001
2015-05-26,Guinea,,24 May 2015,Probable,419,419
2015-05-26,Guinea,,24 May 2015,Suspected,12,Not available
2015-05-26,Guinea,,24 May 2015,Total,3641,2420
2015-05-26,Liberia,,9 May 2015,Confirmed,3151,Not available
2015-05-26,Liberia,,9 May 2015,Probable,1879,Not available
2015-05-26,Liberia,,9 May 2015,Suspected,5636,Not available
2015-05-26,Liberia,,9 May 2015,Total,10666,4806
2015-05-26,Sierra Leone,,24 May 2015,Confirmed,8608,3542
2015-05-26,Sierra Leone,,24 May 2015,Probable,287,208
2015-05-26,Sierra Leone,,24 May 2015,Suspected,3811,158
2015-05-26,Sierra Leone,,24 May 2015,Total,12706,3908
2015-05-26,All countries,,,Confirmed,14969,Not available
2015-05-26,All countries,,,Probable,2585,Not available
2015-05-26,All countries,,,Suspected,9459,Not available
2015-05-26,All countries,,,Total,27013,11134
2015-05-27,Guinea,24 May 2015,Confirmed,3210,43,2001
2015-05-27,Guinea,24 May 2015,Probable,419,Not reported.,419
2015-05-27,Guinea,24 May 2015,Suspected,12,Not reported.,Data not available.
2015-05-27,Guinea,24 May 2015,Total,3641,43,2420
2015-05-27,Liberia,9 May 2015,Confirmed,3151,0,Data not available.
2015-05-27,Liberia,9 May 2015,Probable,1879,Not reported.,Data not available.
2015-05-27,Liberia,9 May 2015,Suspected,5636,Not reported.,Data not available.
2015-05-27,Liberia,9 May 2015,Total,10666,0,4806
2015-05-27,Sierra Leone,24 May 2015,Confirmed,8608,13,3542
2015-05-27,Sierra Leone,24 May 2015,Probable,287,Not reported.,208
2015-05-27,Sierra Leone,24 May 2015,Suspected,3811,Not reported.,158
2015-05-27,Sierra Leone,24 May 2015,Total,12706,13,3908
2015-05-27,All countries,,Confirmed,14969,56,Data not available.
2015-05-27,All countries,,Probable,2585,Not reported.,Data not available.
2015-05-27,All countries,,Suspected,9459,Not reported.,Data not available.
2015-05-27,All countries,,Total,27013,56,11134
2015-05-28,Guinea,,26 May 2015,Confirmed,3214,2004
2015-05-28,Guinea,,26 May 2015,Probable,419,419
2015-05-28,Guinea,,26 May 2015,Suspected,6,Not available
2015-05-28,Guinea,,26 May 2015,Total,3639,2423
2015-05-28,Liberia,,9 May 2015,Confirmed,3151,Not available
2015-05-28,Liberia,,9 May 2015,Probable,1879,Not available
2015-05-28,Liberia,,9 May 2015,Suspected,5636,Not available
2015-05-28,Liberia,,9 May 2015,Total,10666,4806
2015-05-28,Sierra Leone,,26 May 2015,Confirmed,8611,3545
2015-05-28,Sierra Leone,,26 May 2015,Probable,287,208
2015-05-28,Sierra Leone,,26 May 2015,Suspected,3837,158
2015-05-28,Sierra Leone,,26 May 2015,Total,12735,3911
2015-05-28,All countries,,,Confirmed,14976,Not available
2015-05-28,All countries,,,Probable,2585,Not available
2015-05-28,All countries,,,Suspected,9479,Not available
2015-05-28,All countries,,,Total,27040,11140
2015-05-29,Guinea,,27 May 2015,Confirmed,3216,2006
2015-05-29,Guinea,,27 May 2015,Probable,419,419
2015-05-29,Guinea,,27 May 2015,Suspected,9,Not available
2015-05-29,Guinea,,27 May 2015,Total,3644,2425
2015-05-29,Liberia,,9 May 2015,Confirmed,3151,Not available
2015-05-29,Liberia,,9 May 2015,Probable,1879,Not available
2015-05-29,Liberia,,9 May 2015,Suspected,5636,Not available
2015-05-29,Liberia,,9 May 2015,Total,10666,4806
2015-05-29,Sierra Leone,,27 May 2015,Confirmed,8614,3545
2015-05-29,Sierra Leone,,27 May 2015,Probable,287,208
2015-05-29,Sierra Leone,,27 May 2015,Suspected,3844,158
2015-05-29,Sierra Leone,,27 May 2015,Total,12745,3911
2015-05-29,All countries,,,Confirmed,14981,Not available
2015-05-29,All countries,,,Probable,2585,Not available
2015-05-29,All countries,,,Suspected,9489,Not available
2015-05-29,All countries,,,Total,27055,11142
2015-06-01,Guinea,,30 May 2015,Confirmed,3220,2009
2015-06-01,Guinea,,30 May 2015,Probable,419,419
2015-06-01,Guinea,,30 May 2015,Suspected,14,Not available
2015-06-01,Guinea,,30 May 2015,Total,3653,2428
2015-06-01,Liberia,,9 May 2015,Confirmed,3151,Not available
2015-06-01,Liberia,,9 May 2015,Probable,1879,Not available
2015-06-01,Liberia,,9 May 2015,Suspected,5636,Not available
2015-06-01,Liberia,,9 May 2015,Total,10666,4806
2015-06-01,Sierra Leone,,30 May 2015,Confirmed,8618,3545
2015-06-01,Sierra Leone,,30 May 2015,Probable,287,208
2015-06-01,Sierra Leone,,30 May 2015,Suspected,3911,158
2015-06-01,Sierra Leone,,30 May 2015,Total,12816,3911
2015-06-01,All countries,,,Confirmed,14989,Not available
2015-06-01,All countries,,,Probable,2585,Not available
2015-06-01,All countries,,,Suspected,9561,Not available
2015-06-01,All countries,,,Total,27135,11145
2015-06-02,Guinea,,31 May 2015,Confirmed,3223,2010
2015-06-02,Guinea,,31 May 2015,Probable,419,419
2015-06-02,Guinea,,31 May 2015,Suspected,10,Not available
2015-06-02,Guinea,,31 May 2015,Total,3652,2429
2015-06-02,Liberia,,9 May 2015,Confirmed,3151,Not available
2015-06-02,Liberia,,9 May 2015,Probable,1879,Not available
2015-06-02,Liberia,,9 May 2015,Suspected,5636,Not available
2015-06-02,Liberia,,9 May 2015,Total,10666,4806
2015-06-02,Sierra Leone,,31 May 2015,Confirmed,8620,3546
2015-06-02,Sierra Leone,,31 May 2015,Probable,287,208
2015-06-02,Sierra Leone,,31 May 2015,Suspected,3920,158
2015-06-02,Sierra Leone,,31 May 2015,Total,12827,3912
2015-06-02,All countries,,,Confirmed,14994,Not available
2015-06-02,All countries,,,Probable,2585,Not available
2015-06-02,All countries,,,Suspected,9566,Not available
2015-06-02,All countries,,,Total,27145,11147
2015-06-03,Guinea,31 May 2015,Confirmed,3223,49,2010
2015-06-03,Guinea,31 May 2015,Probable,419,Not reported.,419
2015-06-03,Guinea,31 May 2015,Suspected,10,Not reported.,Data not available.
2015-06-03,Guinea,31 May 2015,Total,3652,49,2429
2015-06-03,Liberia,9 May 2015,Confirmed,3151,0,Data not available.
2015-06-03,Liberia,9 May 2015,Probable,1879,Not reported.,Data not available.
2015-06-03,Liberia,9 May 2015,Suspected,5636,Not reported.,Data not available.
2015-06-03,Liberia,9 May 2015,Total,10666,0,4806
2015-06-03,Sierra Leone,31 May 2015,Confirmed,8620,23,3546
2015-06-03,Sierra Leone,31 May 2015,Probable,287,Not reported.,208
2015-06-03,Sierra Leone,31 May 2015,Suspected,3920,Not reported.,158
2015-06-03,Sierra Leone,31 May 2015,Total,12827,23,3912
2015-06-03,All countries,,Confirmed,14994,72,Data not available.
2015-06-03,All countries,,Probable,2585,Not reported.,Data not available.
2015-06-03,All countries,,Suspected,9566,Not reported.,Data not available.
2015-06-03,All countries,,Total,27145,72,11147
2015-06-04,Guinea,,2 June 2015,Confirmed,3227,2012
2015-06-04,Guinea,,2 June 2015,Probable,419,419
2015-06-04,Guinea,,2 June 2015,Suspected,11,Not available
2015-06-04,Guinea,,2 June 2015,Total,3657,2431
2015-06-04,Liberia,,9 May 2015,Confirmed,3151,Not available
2015-06-04,Liberia,,9 May 2015,Probable,1879,Not available
2015-06-04,Liberia,,9 May 2015,Suspected,5636,Not available
2015-06-04,Liberia,,9 May 2015,Total,10666,4806
2015-06-04,Sierra Leone,,2 June 2015,Confirmed,8623,3546
2015-06-04,Sierra Leone,,2 June 2015,Probable,287,208
2015-06-04,Sierra Leone,,2 June 2015,Suspected,3940,158
2015-06-04,Sierra Leone,,2 June 2015,Total,12850,3912
2015-06-04,All countries,,,Confirmed,15001,Not available
2015-06-04,All countries,,,Probable,2585,Not available
2015-06-04,All countries,,,Suspected,9587,Not available
2015-06-04,All countries,,,Total,27173,11149
2015-06-05,Guinea,,3 June 2015,Confirmed,3228,2012
2015-06-05,Guinea,,3 June 2015,Probable,419,419
2015-06-05,Guinea,,3 June 2015,Suspected,17,Not available
2015-06-05,Guinea,,3 June 2015,Total,3664,2431
2015-06-05,Liberia,,9 May 2015,Confirmed,3151,Not available
2015-06-05,Liberia,,9 May 2015,Probable,1879,Not available
2015-06-05,Liberia,,9 May 2015,Suspected,5636,Not available
2015-06-05,Liberia,,9 May 2015,Total,10666,4806
2015-06-05,Sierra Leone,,3 June 2015,Confirmed,8624,3546
2015-06-05,Sierra Leone,,3 June 2015,Probable,287,208
2015-06-05,Sierra Leone,,3 June 2015,Suspected,3948,158
2015-06-05,Sierra Leone,,3 June 2015,Total,12859,3912
2015-06-05,All countries,,,Confirmed,15003,Not available
2015-06-05,All countries,,,Probable,2585,Not available
2015-06-05,All countries,,,Suspected,9601,Not available
2015-06-05,All countries,,,Total,27189,11149
2015-06-08,Guinea,,6 June 2015,Confirmed,3237,2016
2015-06-08,Guinea,,6 June 2015,Probable,419,419
2015-06-08,Guinea,,6 June 2015,Suspected,13,Not available
2015-06-08,Guinea,,6 June 2015,Total,3669,2435
2015-06-08,Liberia,,9 May 2015,Confirmed,3151,Not available
2015-06-08,Liberia,,9 May 2015,Probable,1879,Not available
2015-06-08,Liberia,,9 May 2015,Suspected,5636,Not available
2015-06-08,Liberia,,9 May 2015,Total,10666,4806
2015-06-08,Sierra Leone,,6 June 2015,Confirmed,8630,3547
2015-06-08,Sierra Leone,,6 June 2015,Probable,287,208
2015-06-08,Sierra Leone,,6 June 2015,Suspected,3967,158
2015-06-08,Sierra Leone,,6 June 2015,Total,12884,3913
2015-06-08,All countries,,,Confirmed,15018,Not available
2015-06-08,All countries,,,Probable,2585,Not available
2015-06-08,All countries,,,Suspected,9616,Not available
2015-06-08,All countries,,,Total,27219,11154
2015-06-09,Guinea,,7 June 2015,Confirmed,3239,2018
2015-06-09,Guinea,,7 June 2015,Probable,419,419
2015-06-09,Guinea,,7 June 2015,Suspected,12,Not available
2015-06-09,Guinea,,7 June 2015,Total,3670,2437
2015-06-09,Liberia,,9 May 2015,Confirmed,3151,Not available
2015-06-09,Liberia,,9 May 2015,Probable,1879,Not available
2015-06-09,Liberia,,9 May 2015,Suspected,5636,Not available
2015-06-09,Liberia,,9 May 2015,Total,10666,4806
2015-06-09,Sierra Leone,,7 June 2015,Confirmed,8635,3549
2015-06-09,Sierra Leone,,7 June 2015,Probable,287,208
2015-06-09,Sierra Leone,,7 June 2015,Suspected,3979,158
2015-06-09,Sierra Leone,,7 June 2015,Total,12901,3915
2015-06-09,All countries,,,Confirmed,15025,Not available
2015-06-09,All countries,,,Probable,2585,Not available
2015-06-09,All countries,,,Suspected,9627,Not available
2015-06-09,All countries,,,Total,27237,11158
2015-06-10,Guinea,7 June 2015,Confirmed,3239,38,2018
2015-06-10,Guinea,7 June 2015,Probable,419,Not reported.,419
2015-06-10,Guinea,7 June 2015,Suspected,12,Not reported.,Data not available.
2015-06-10,Guinea,7 June 2015,Total,3670,38,2437
2015-06-10,Liberia,9 May 2015,Confirmed,3151,0,Data not available.
2015-06-10,Liberia,9 May 2015,Probable,1879,Not reported.,Data not available.
2015-06-10,Liberia,9 May 2015,Suspected,5636,Not reported.,Data not available.
2015-06-10,Liberia,9 May 2015,Total,10666,0,4806
2015-06-10,Sierra Leone,7 June 2015,Confirmed,8635,30,3549
2015-06-10,Sierra Leone,7 June 2015,Probable,287,Not reported.,208
2015-06-10,Sierra Leone,7 June 2015,Suspected,3979,Not reported.,158
2015-06-10,Sierra Leone,7 June 2015,Total,12901,30,3915
2015-06-10,All countries,,Confirmed,15025,68,Data not available.
2015-06-10,All countries,,Probable,2585,Not reported.,Data not available.
2015-06-10,All countries,,Suspected,9627,Not reported.,Data not available.
2015-06-10,All countries,,Total,27237,68,11158
2015-06-11,Guinea,,9 June 2015,Confirmed,3243,2021
2015-06-11,Guinea,,9 June 2015,Probable,419,419
2015-06-11,Guinea,,9 June 2015,Suspected,12,Not available
2015-06-11,Guinea,,9 June 2015,Total,3674,2440
2015-06-11,Liberia,,9 May 2015,Confirmed,3151,Not available
2015-06-11,Liberia,,9 May 2015,Probable,1879,Not available
2015-06-11,Liberia,,9 May 2015,Suspected,5636,Not available
2015-06-11,Liberia,,9 May 2015,Total,10666,4806
2015-06-11,Sierra Leone,,9 June 2015,Confirmed,8638,3551
2015-06-11,Sierra Leone,,9 June 2015,Probable,287,208
2015-06-11,Sierra Leone,,9 June 2015,Suspected,3986,158
2015-06-11,Sierra Leone,,9 June 2015,Total,12911,3917
2015-06-11,All countries,,,Confirmed,15032,Not available
2015-06-11,All countries,,,Probable,2585,Not available
2015-06-11,All countries,,,Suspected,9634,Not available
2015-06-11,All countries,,,Total,27251,11163
2015-06-12,Guinea,,10 June 2015,Confirmed,3243,2021
2015-06-12,Guinea,,10 June 2015,Probable,419,419
2015-06-12,Guinea,,10 June 2015,Suspected,15,Not available
2015-06-12,Guinea,,10 June 2015,Total,3677,2440
2015-06-12,Liberia,,9 May 2015,Confirmed,3151,Not available
2015-06-12,Liberia,,9 May 2015,Probable,1879,Not available
2015-06-12,Liberia,,9 May 2015,Suspected,5636,Not available
2015-06-12,Liberia,,9 May 2015,Total,10666,4806
2015-06-12,Sierra Leone,,10 June 2015,Confirmed,8647,3551
2015-06-12,Sierra Leone,,10 June 2015,Probable,287,208
2015-06-12,Sierra Leone,,10 June 2015,Suspected,3998,158
2015-06-12,Sierra Leone,,10 June 2015,Total,12932,3917
2015-06-12,All countries,,,Confirmed,15041,Not available
2015-06-12,All countries,,,Probable,2585,Not available
2015-06-12,All countries,,,Suspected,9649,Not available
2015-06-12,All countries,,,Total,27275,11163
2015-06-15,Guinea,,13 June 2015,Confirmed,3249,2024
2015-06-15,Guinea,,13 June 2015,Probable,419,419
2015-06-15,Guinea,,13 June 2015,Suspected,9,Not available
2015-06-15,Guinea,,13 June 2015,Total,3677,2443
2015-06-15,Liberia,,9 May 2015,Confirmed,3151,Not available
2015-06-15,Liberia,,9 May 2015,Probable,1879,Not available
2015-06-15,Liberia,,9 May 2015,Suspected,5636,Not available
2015-06-15,Liberia,,9 May 2015,Total,10666,4806
2015-06-15,Sierra Leone,,13 June 2015,Confirmed,8649,3553
2015-06-15,Sierra Leone,,13 June 2015,Probable,287,208
2015-06-15,Sierra Leone,,13 June 2015,Suspected,4026,158
2015-06-15,Sierra Leone,,13 June 2015,Total,12962,3919
2015-06-15,All countries,,,Confirmed,15049,Not available
2015-06-15,All countries,,,Probable,2585,Not available
2015-06-15,All countries,,,Suspected,9671,Not available
2015-06-15,All countries,,,Total,27305,11168
2015-06-16,Guinea,,14 June 2015,Confirmed,3249,2025
2015-06-16,Guinea,,14 June 2015,Probable,419,419
2015-06-16,Guinea,,14 June 2015,Suspected,10,Not available
2015-06-16,Guinea,,14 June 2015,Total,3678,2444
2015-06-16,Liberia,,9 May 2015,Confirmed,3151,Not available
2015-06-16,Liberia,,9 May 2015,Probable,1879,Not available
